Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Todd Gurley II (11586826),Todd Gurley II,11586826,RB/FLEX,9400,SEA@LAR 11/11/2018 04:25PM ET,LAR,30.33
RB,Melvin Gordon III (11586728),Melvin Gordon III,11586728,RB/FLEX,9000,LAC@OAK 11/11/2018 04:05PM ET,LAC,27.69
RB,Alvin Kamara (11586973),Alvin Kamara,11586973,RB/FLEX,8700,NO@CIN 11/11/2018 01:00PM ET,NO,28.46
RB,Saquon Barkley (11587117),Saquon Barkley,11587117,RB/FLEX,8600,NYG@SF 11/12/2018 08:15PM ET,NYG,26.2
RB,Kareem Hunt (11586945),Kareem Hunt,11586945,RB/FLEX,8500,ARI@KC 11/11/2018 01:00PM ET,KC,22.72
WR,Julio Jones (11586454),Julio Jones,11586454,WR/FLEX,8300,ATL@CLE 11/11/2018 01:00PM ET,ATL,21.8
WR,Michael Thomas (11586781),Michael Thomas,11586781,WR/FLEX,8100,NO@CIN 11/11/2018 01:00PM ET,NO,24.38
WR,Odell Beckham Jr. (11586657),Odell Beckham Jr.,11586657,WR/FLEX,7900,NYG@SF 11/12/2018 08:15PM ET,NYG,21.57
WR,Davante Adams (11586760),Davante Adams,11586760,WR/FLEX,7800,MIA@GB 11/11/2018 04:25PM ET,GB,22.75
RB,Joe Mixon (11587008),Joe Mixon,11587008,RB/FLEX,7700,NO@CIN 11/11/2018 01:00PM ET,CIN,19.07
WR,A.J. Green (11586460),A.J. Green,11586460,WR/FLEX,7600,NO@CIN 11/11/2018 01:00PM ET,CIN,19.34
WR,Tyler Boyd (11586921),Tyler Boyd,11586921,WR/FLEX,7500,NO@CIN 11/11/2018 01:00PM ET,CIN,18.79
RB,Ezekiel Elliott (11586887),Ezekiel Elliott,11586887,RB/FLEX,7500,DAL@PHI 11/11/2018 08:20PM ET,DAL,18.95
WR,Tyreek Hill (11587034),Tyreek Hill,11587034,WR/FLEX,7300,ARI@KC 11/11/2018 01:00PM ET,KC,20.61
RB,James White (11586615),James White,11586615,RB/FLEX,7300,NE@TEN 11/11/2018 01:00PM ET,NE,21.96
QB,Patrick Mahomes (11587084),Patrick Mahomes,11587084,QB,7200,ARI@KC 11/11/2018 01:00PM ET,KC,30.53
WR,Keenan Allen (11586623),Keenan Allen,11586623,WR/FLEX,7100,LAC@OAK 11/11/2018 04:05PM ET,LAC,16.05
TE,Travis Kelce (11586448),Travis Kelce,11586448,TE/FLEX,7000,ARI@KC 11/11/2018 01:00PM ET,KC,18.9
WR,Mike Evans (11586684),Mike Evans,11586684,WR/FLEX,7000,WAS@TB 11/11/2018 01:00PM ET,TB,20.08
RB,David Johnson (11586590),David Johnson,11586590,RB/FLEX,6800,ARI@KC 11/11/2018 01:00PM ET,ARI,14.76
WR,Julian Edelman (11586395),Julian Edelman,11586395,WR/FLEX,6800,NE@TEN 11/11/2018 01:00PM ET,NE,16.90
WR,Brandin Cooks (11586748),Brandin Cooks,11586748,WR/FLEX,6700,SEA@LAR 11/11/2018 04:25PM ET,LAR,16.32
WR,Robert Woods (11586613),Robert Woods,11586613,WR/FLEX,6600,SEA@LAR 11/11/2018 04:25PM ET,LAR,17.97
QB,Aaron Rodgers (11586322),Aaron Rodgers,11586322,QB,6400,MIA@GB 11/11/2018 04:25PM ET,GB,22.26
WR,Cooper Kupp (11586855),Cooper Kupp,11586855,WR/FLEX,6400,SEA@LAR 11/11/2018 04:25PM ET,LAR,18.46
QB,Drew Brees (11586313),Drew Brees,11586313,QB,6300,NO@CIN 11/11/2018 01:00PM ET,NO,24.26
RB,Leonard Fournette (11587020),Leonard Fournette,11587020,RB/FLEX,6300,JAX@IND 11/11/2018 01:00PM ET,JAX,6.5
TE,Zach Ertz (11586525),Zach Ertz,11586525,TE/FLEX,6300,DAL@PHI 11/11/2018 08:20PM ET,PHI,19.05
QB,Matt Ryan (11586328),Matt Ryan,11586328,QB,6200,ATL@CLE 11/11/2018 01:00PM ET,ATL,27.14
WR,Jarvis Landry (11586659),Jarvis Landry,11586659,WR/FLEX,6200,ATL@CLE 11/11/2018 01:00PM ET,CLE,14.76
QB,Jared Goff (11586875),Jared Goff,11586875,QB,6100,SEA@LAR 11/11/2018 04:25PM ET,LAR,23.95
RB,Marlon Mack (11587088),Marlon Mack,11587088,RB/FLEX,6000,JAX@IND 11/11/2018 01:00PM ET,IND,20.42
QB,Tom Brady (11586312),Tom Brady,11586312,QB,6000,NE@TEN 11/11/2018 01:00PM ET,NE,20.28
WR,Josh Gordon (11586532),Josh Gordon,11586532,WR/FLEX,6000,NE@TEN 11/11/2018 01:00PM ET,NE,12.61
QB,Philip Rivers (11586343),Philip Rivers,11586343,QB,6000,LAC@OAK 11/11/2018 04:05PM ET,LAC,21.92
WR,Calvin Ridley (11587119),Calvin Ridley,11587119,WR/FLEX,5900,ATL@CLE 11/11/2018 01:00PM ET,ATL,15.78
TE,George Kittle (11586895),George Kittle,11586895,TE/FLEX,5900,NYG@SF 11/12/2018 08:15PM ET,SF,15.13
QB,Ryan Fitzpatrick (11586319),Ryan Fitzpatrick,11586319,QB,5900,WAS@TB 11/11/2018 01:00PM ET,TB,26.67
QB,Andy Dalton (11586375),Andy Dalton,11586375,QB,5800,NO@CIN 11/11/2018 01:00PM ET,CIN,19.27
WR,T.Y. Hilton (11586496),T.Y. Hilton,11586496,WR/FLEX,5700,JAX@IND 11/11/2018 01:00PM ET,IND,14.72
RB,Adrian Peterson (11586355),Adrian Peterson,11586355,RB/FLEX,5700,WAS@TB 11/11/2018 01:00PM ET,WAS,15.39
QB,Carson Wentz (11586764),Carson Wentz,11586764,QB,5700,DAL@PHI 11/11/2018 08:20PM ET,PHI,22.64
QB,Russell Wilson (11586433),Russell Wilson,11586433,QB,5700,SEA@LAR 11/11/2018 04:25PM ET,SEA,18.68
RB,T.J. Yeldon (11586775),T.J. Yeldon,11586775,RB/FLEX,5600,JAX@IND 11/11/2018 01:00PM ET,JAX,16.75
QB,Mitchell Trubisky (11586886),Mitchell Trubisky,11586886,QB,5600,DET@CHI 11/11/2018 01:00PM ET,CHI,23.02
TE,Rob Gronkowski (11586404),Rob Gronkowski,11586404,TE/FLEX,5600,NE@TEN 11/11/2018 01:00PM ET,NE,11.69
WR,Alshon Jeffery (11586534),Alshon Jeffery,11586534,WR/FLEX,5600,DAL@PHI 11/11/2018 08:20PM ET,PHI,18.02
RB,Nick Chubb (11587030),Nick Chubb,11587030,RB/FLEX,5500,ATL@CLE 11/11/2018 01:00PM ET,CLE,7.98
