"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Adam Thielen","MIN","8.4","105.6","0.7","0.1","0.4","0.0","0.1","23.1"
"Antonio Brown","PIT","7.4","96.8","0.8","0.0","0.0","0.0","0.0","21.8"
"DeAndre Hopkins","HOU","6.8","100.4","0.8","0.1","0.4","0.0","0.1","21.4"
"A.J. Green","CIN","6.8","94.8","0.8","0.0","0.0","0.0","0.1","21.0"
"Michael Thomas","NO","7.4","91.2","0.7","0.0","0.0","0.0","0.1","20.3"
"Odell Beckham Jr.","NYG","7.1","91.3","0.6","0.5","2.3","0.0","0.1","19.8"
"Davante Adams","GB","6.8","86.5","0.7","0.0","0.0","0.0","0.0","19.6"
"Tyreek Hill","KC","5.3","82.4","0.7","1.2","6.7","0.1","0.0","18.8"
"Brandin Cooks","LAR","5.7","84.7","0.7","0.5","3.2","0.0","0.0","18.4"
"Robert Woods","LAR","6.0","82.0","0.6","0.8","5.2","0.0","0.0","18.3"
"JuJu Smith-Schuster","PIT","6.2","84.1","0.6","0.0","0.0","0.0","0.0","18.2"
"Emmanuel Sanders","DEN","6.4","82.7","0.5","0.3","2.7","0.0","0.0","18.1"
"Stefon Diggs","MIN","6.4","75.8","0.6","0.7","3.0","0.0","0.0","17.9"
"T.Y. Hilton","IND","5.3","79.6","0.7","0.0","0.0","0.0","0.0","17.2"
"Mike Evans","TB","6.0","78.4","0.6","0.0","0.0","0.0","0.1","17.1"
"Jarvis Landry","CLE","6.3","76.9","0.5","0.0","0.1","0.0","0.1","16.7"
"Golden Tate","DET","6.3","67.9","0.5","0.3","2.0","0.0","0.1","16.0"
"Tyler Boyd","CIN","5.5","68.4","0.6","0.1","1.0","0.0","0.0","15.9"
"Alshon Jeffery","PHI","5.0","65.6","0.6","0.0","0.0","0.0","0.0","15.1"
"Kenny Golladay","DET","5.0","69.1","0.5","0.0","0.1","0.0","0.0","15.0"
"Julian Edelman","NE","5.3","59.4","0.6","0.2","1.2","0.0","0.1","14.5"
"Doug Baldwin","SEA","5.0","60.9","0.5","0.0","0.0","0.0","0.0","14.0"
"John Brown","BAL","4.2","65.0","0.5","0.2","1.4","0.0","0.0","13.8"
"Demaryius Thomas","DEN","5.0","63.8","0.3","0.0","0.0","0.0","0.1","12.9"
"Devin Funchess","CAR","4.0","55.7","0.5","0.0","0.0","0.0","0.0","12.6"
"Michael Crabtree","BAL","4.9","58.8","0.2","0.0","0.0","0.0","0.0","12.3"
"Jordy Nelson","OAK","4.5","56.4","0.3","0.0","0.0","0.0","0.0","12.2"
"Sterling Shepard","NYG","4.8","59.0","0.2","0.0","0.2","0.0","0.0","12.2"
"Tyler Lockett","SEA","3.5","52.8","0.5","0.3","2.7","0.0","0.0","12.1"
"Sammy Watkins","KC","3.6","49.5","0.5","0.4","3.3","0.0","0.0","12.0"
"Chris Godwin","TB","4.0","50.2","0.5","0.0","0.0","0.0","0.0","11.9"
"Danny Amendola","MIA","5.2","53.3","0.2","0.0","0.1","0.0","0.1","11.5"
"Christian Kirk","ARI","3.9","51.2","0.4","0.2","1.6","0.0","0.0","11.5"
"Josh Gordon","NE","3.8","58.3","0.3","0.0","0.0","0.0","0.0","11.5"
"Marvin Jones","DET","3.7","53.3","0.4","0.0","0.0","0.0","0.1","11.1"
"DeSean Jackson","TB","3.5","59.1","0.2","0.2","1.8","0.0","0.0","11.1"
"Taylor Gabriel","CHI","4.2","50.3","0.2","0.7","3.9","0.0","0.0","10.9"
"Jermaine Kearse","NYJ","4.2","53.2","0.2","0.0","0.0","0.0","0.0","10.7"
"Chester Rogers","IND","4.3","50.5","0.2","0.0","0.0","0.0","0.0","10.7"
"Marquise Goodwin","SF","3.7","54.3","0.2","0.4","2.3","0.0","0.0","10.7"
"Keelan Cole","JAC","4.1","55.1","0.2","0.0","0.0","0.0","0.0","10.7"
"Tre'Quan Smith","NO","3.2","45.7","0.4","0.0","0.1","0.0","0.0","10.3"
"Geronimo Allison","GB","3.7","49.7","0.2","0.0","0.0","0.0","0.0","10.0"
"Nelson Agholor","PHI","4.3","43.9","0.2","0.3","1.8","0.0","0.0","10.0"
"Larry Fitzgerald","ARI","4.0","45.5","0.2","0.0","0.0","0.0","0.0","9.9"
"Dede Westbrook","JAC","3.9","50.6","0.2","0.2","0.9","0.0","0.0","9.9"
"Donte Moncrief","JAC","3.7","47.0","0.2","0.0","0.0","0.0","0.0","9.7"
"Randall Cobb","GB","4.0","43.9","0.2","0.2","0.9","0.0","0.1","9.5"
"Willie Snead","BAL","3.8","44.2","0.2","0.1","0.6","0.0","0.0","9.2"
"Martavis Bryant","OAK","3.5","46.1","0.2","0.1","0.7","0.0","0.1","9.2"
"Kelvin Benjamin","BUF","3.1","43.5","0.2","0.0","0.0","0.0","0.0","8.5"
"Jakeem Grant","MIA","3.0","40.3","0.2","0.2","0.9","0.0","0.0","8.4"
"Paul Richardson","WAS","2.8","38.6","0.3","0.1","0.6","0.0","0.0","8.3"
"Allen Robinson","CHI","2.9","38.1","0.3","0.0","0.0","0.0","0.0","8.2"
"Devante Parker","MIA","3.1","40.3","0.2","0.0","0.0","0.0","0.0","8.2"
"Courtland Sutton","DEN","2.7","42.3","0.2","0.0","0.1","0.0","0.0","8.1"
"Seth Roberts","OAK","3.4","36.5","0.2","0.0","0.0","0.0","0.1","8.0"
"Anthony Miller","CHI","2.8","35.4","0.2","0.0","0.1","0.0","0.0","7.8"
"Antonio Callaway","CLE","2.7","36.0","0.2","0.3","1.9","0.0","0.0","7.5"
"Zay Jones","BUF","2.9","36.3","0.1","0.0","0.0","0.0","0.0","7.4"
"D.J. Moore","CAR","2.8","32.7","0.1","0.5","3.7","0.0","0.0","7.1"
"Adam Humphries","TB","3.2","32.7","0.1","0.1","0.6","0.0","0.0","7.1"
"Chris Hogan","NE","2.6","33.4","0.2","0.0","0.1","0.0","0.0","7.0"
"Josh Doctson","WAS","2.5","34.3","0.2","0.0","-0.1","0.0","0.0","6.9"
"David Moore","SEA","2.1","30.4","0.2","0.1","0.4","0.0","0.0","6.6"
"Andre Roberts","NYJ","2.5","31.1","0.1","0.1","0.4","0.0","0.0","6.2"
"Josh Reynolds","LAR","2.2","28.8","0.2","0.1","0.6","0.0","0.0","6.1"
"Maurice Harris","WAS","2.3","27.7","0.1","0.2","1.2","0.0","0.0","6.0"
"Rishard Matthews","NYJ","2.2","30.5","0.1","0.0","0.0","0.0","0.1","6.0"
"Laquon Treadwell","MIN","2.4","27.3","0.1","0.0","0.0","0.0","0.0","6.0"
"Cameron Meredith","NO","2.3","29.4","0.1","0.0","0.1","0.0","0.1","5.9"
"Trent Taylor","SF","2.6","25.7","0.1","0.0","0.0","0.0","0.0","5.9"
"Damion Ratley","CLE","2.3","30.0","0.1","0.0","0.2","0.0","0.1","5.8"
"Jarius Wright","CAR","2.3","27.0","0.1","0.0","1.0","0.0","0.0","5.8"
"Marquez Valdes-Scantling","GB","1.8","25.2","0.1","0.0","0.1","0.0","0.0","4.9"
"Dante Pettis","SF","1.7","24.5","0.1","0.0","0.2","0.0","0.0","4.7"
"Chad Williams","ARI","1.7","22.8","0.1","0.0","0.3","0.0","0.0","4.6"
"Alex Erickson","CIN","1.6","21.5","0.1","0.1","0.8","0.0","0.1","4.4"
"Zach Pascal","IND","1.6","21.0","0.1","0.1","0.5","0.0","0.0","4.4"
"Andre Holmes","BUF","1.6","22.0","0.1","0.0","0.0","0.0","0.0","4.4"
"Chris Conley","KC","1.8","19.7","0.1","0.0","0.0","0.0","0.1","4.3"
"Curtis Samuel","CAR","1.4","19.4","0.1","0.4","2.7","0.0","0.0","4.3"
"Kevin White","CHI","1.6","20.9","0.1","0.0","0.3","0.0","0.1","4.2"
"Ryan Switzer","PIT","1.6","17.3","0.1","0.7","3.2","0.0","0.0","4.2"
"Jordan Matthews","PHI","1.6","18.8","0.1","0.0","0.0","0.0","0.0","4.2"
"Cordarrelle Patterson","NE","1.3","13.2","0.1","1.0","6.0","0.0","0.0","3.7"
"Kendrick Bourne","SF","1.3","16.7","0.1","0.0","0.0","0.0","0.1","3.7"
"Cody Core","CIN","1.3","16.4","0.1","0.1","0.4","0.0","0.0","3.5"
"Tyler Ervin","HOU","1.2","15.8","0.1","0.0","0.0","0.0","0.0","3.4"
"D.J. Chark","JAC","1.3","16.9","0.1","0.0","0.0","0.0","0.0","3.3"
"Deontay Burnett","NYJ","1.2","16.0","0.1","0.0","0.0","0.0","0.0","3.2"
"Breshad Perriman","CLE","1.2","16.3","0.1","0.0","0.0","0.0","0.0","3.2"
"Brandon Marshall","SEA","1.1","14.5","0.1","0.0","0.0","0.0","0.0","3.1"
"Aldrick Robinson","MIN","0.9","12.3","0.1","0.0","0.0","0.0","0.0","2.8"
"Chris Moore","BAL","0.9","11.5","0.1","0.2","1.2","0.0","0.0","2.6"
"Vyncint Smith","HOU","0.9","14.6","0.0","0.0","0.0","0.0","0.0","2.6"
"James Washington","PIT","0.9","12.2","0.1","0.0","0.0","0.0","0.0","2.5"
"Dontrelle Inman","IND","0.8","10.6","0.1","0.0","0.0","0.0","0.0","2.4"
"Josh Bellamy","CHI","0.8","10.7","0.1","0.0","0.3","0.0","0.0","2.4"
"Corey Coleman","NYG","0.9","11.0","0.1","0.0","0.0","0.0","0.0","2.3"
"Sammie Coates","HOU","0.9","12.0","0.0","0.0","0.0","0.0","0.0","2.3"
"Jaron Brown","SEA","0.7","10.6","0.1","0.0","0.0","0.0","0.0","2.3"
"Equanimeous St. Brown","GB","0.7","11.2","0.1","0.0","0.0","0.0","0.0","2.2"
"J'Mon Moore","GB","0.9","9.7","0.0","0.0","0.1","0.0","0.0","2.0"
"Leonte Carroo","MIA","0.8","9.6","0.1","0.0","0.0","0.0","0.1","2.0"
"TJ Jones","DET","0.7","8.6","0.1","0.0","0.0","0.0","0.0","2.0"
"Michael Floyd","WAS","0.7","9.9","0.0","0.0","0.0","0.0","0.0","1.9"
"Nick Williams","LAR","0.7","8.4","0.1","0.0","0.0","0.0","0.0","1.9"
"Russell Shepard","NYG","0.7","9.8","0.0","0.0","0.2","0.0","0.0","1.9"
"J.J. Nelson","ARI","0.7","9.3","0.0","0.1","0.7","0.0","0.0","1.8"
"Brandon LaFell","OAK","0.7","8.1","0.0","0.0","0.0","0.0","0.0","1.8"
"Austin Carr","NO","0.7","8.8","0.0","0.0","0.0","0.0","0.0","1.8"
"Kamar Aiken","PHI","0.8","9.3","0.0","0.0","0.0","0.0","0.0","1.7"
"Demarcus Robinson","KC","0.7","8.0","0.0","0.0","0.0","0.0","0.0","1.7"
"Brian Quick","WAS","0.7","7.9","0.0","0.0","0.0","0.0","0.0","1.6"
"Richie James","SF","0.7","7.4","0.0","0.0","0.0","0.0","0.0","1.5"
"Dwayne Harris","OAK","0.6","6.6","0.0","0.1","0.4","0.0","0.0","1.4"
"Phillip Dorsett","NE","0.6","6.7","0.0","0.0","0.0","0.0","0.0","1.4"
"Victor Bolden Jr.","SF","0.6","7.6","0.0","0.0","0.0","0.0","0.0","1.3"
"Charone Peake","NYJ","0.5","6.1","0.0","0.0","0.0","0.0","0.0","1.2"
"Justin Hunter","PIT","0.3","4.8","0.1","0.0","0.0","0.0","0.0","1.2"
"Bennie Fowler","NYG","0.5","6.0","0.0","0.0","0.0","0.0","0.0","1.2"
"Josh Malone","CIN","0.4","5.2","0.0","0.0","0.1","0.0","0.0","1.2"
"JoJo Natson","LAR","0.4","5.2","0.0","0.0","0.4","0.0","0.0","1.1"
"Travis Rudolph","MIA","0.5","6.3","0.0","0.0","0.0","0.0","0.0","1.1"
"Andy Jones","DET","0.4","4.7","0.0","0.0","0.0","0.0","0.0","1.1"
"Tim Patrick","DEN","0.4","6.0","0.0","0.0","0.0","0.0","0.0","1.1"
"Damiere Byrd","CAR","0.5","4.7","0.0","0.0","0.1","0.0","0.0","1.0"
"Hunter Sharp","BUF","0.2","1.9","0.1","0.0","0.0","0.0","0.0","1.0"
"Dan Arnold","NO","0.4","5.7","0.0","0.0","0.1","0.0","0.0","1.0"
"Cam Phillips","BUF","0.4","5.3","0.0","0.0","0.0","0.0","0.0","1.0"
"Jordan Taylor","DEN","0.4","4.8","0.0","0.0","0.0","0.0","0.0","1.0"
"Quadree Henderson","NYG","0.4","4.5","0.0","0.0","0.0","0.0","0.0","0.9"
"Marcus Johnson","IND","0.3","5.8","0.0","0.1","-0.1","0.0","0.0","0.9"
"Eli Rogers","PIT","0.4","4.3","0.0","0.0","0.0","0.0","0.0","0.9"
"Khadarel Hodge","LAR","0.3","3.9","0.0","0.0","0.0","0.0","0.0","0.8"
"Ray-Ray McCloud","BUF","0.3","3.2","0.0","0.0","0.0","0.0","0.0","0.6"
"DeAndre Carter","PHI","0.3","3.1","0.0","0.0","0.0","0.0","0.0","0.6"
"Brandon Zylstra","MIN","0.2","2.7","0.0","0.0","0.0","0.0","0.0","0.6"
"Shelton Gibson","PHI","0.2","3.4","0.0","0.0","0.0","0.0","0.0","0.6"
"Rashad Greene","JAC","0.3","3.0","0.0","0.0","0.0","0.0","0.0","0.6"
"Tim White","BAL","0.2","2.6","0.0","0.0","0.0","0.0","0.0","0.6"
"Javon Wims","CHI","0.2","2.8","0.0","0.0","0.1","0.0","0.0","0.6"
"Justin Watson","TB","0.2","2.6","0.0","0.0","0.0","0.0","0.0","0.6"
"Darrius Heyward-Bey","PIT","0.2","2.6","0.0","0.0","0.5","0.0","0.0","0.5"
"Marcus Kemp","KC","0.3","2.2","0.0","0.0","0.0","0.0","0.0","0.5"
"Matt Slater","NE","0.2","2.4","0.0","0.0","0.0","0.0","0.0","0.5"
"Tommylee Lewis","NO","0.2","2.7","0.0","0.1","0.3","0.0","0.0","0.5"
"Braxton Miller","PHI","0.3","2.0","0.0","0.1","0.0","0.0","0.0","0.5"
"Trent Sherfield","ARI","0.2","2.2","0.0","0.0","0.0","0.0","0.0","0.4"
"Jehu Chesson","WAS","0.2","1.9","0.0","0.0","0.1","0.0","0.0","0.4"
