"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Chicago Bears","","2.4","1.1","0.7","1.1","0.3","0.0","15.2","249.0","8.5"
"Carolina Panthers","","2.4","1.4","0.8","1.2","0.3","0.0","22.3","409.0","8.4"
"Kansas City Chiefs","","2.8","1.1","0.7","1.0","0.3","0.1","20.2","371.0","8.2"
"Denver Broncos","","2.9","1.2","0.6","0.9","0.2","0.0","23.4","352.0","7.8"
"Dallas Cowboys","","2.5","0.8","0.7","0.9","0.2","0.0","17.6","290.0","7.7"
"Oakland Raiders","","2.2","1.1","0.8","1.1","0.3","0.0","24.5","367.0","7.4"
"Miami Dolphins","","1.5","1.4","0.7","0.9","0.3","0.0","20.4","319.0","7.3"
"Houston Texans","","2.4","1.0","0.7","1.0","0.2","0.0","25.7","358.0","7.1"
"Seattle Seahawks","","1.7","0.8","0.7","1.0","0.2","0.0","19.1","363.0","7.0"
"Baltimore Ravens","","2.0","1.1","0.6","0.9","0.3","0.1","20.2","367.0","7.0"
"Detroit Lions","","2.7","0.6","0.8","1.2","0.2","0.0","24.9","380.0","6.9"
"Minnesota Vikings","","2.3","0.9","0.7","0.9","0.2","0.0","22.9","348.0","6.7"
"Pittsburgh Steelers","","2.5","0.9","0.6","0.9","0.2","0.0","23.8","317.0","6.6"
"Buffalo Bills","","1.9","0.9","0.9","1.3","0.2","0.0","21.9","338.0","6.6"
"Green Bay Packers","","2.1","0.8","0.7","0.9","0.2","0.1","34.1","411.0","6.5"
"Los Angeles Rams","","1.9","0.6","1.0","1.4","0.3","0.0","30.5","400.0","6.5"
"New York Jets","","1.4","1.1","0.7","1.0","0.3","0.0","20.7","310.0","6.4"
"New England Patriots","","2.6","0.5","0.7","1.0","0.2","0.0","24.0","414.0","6.3"
"Tennessee Titans","","2.3","0.7","0.6","0.9","0.2","0.0","24.0","314.0","6.1"
"New Orleans Saints","","1.8","0.7","0.7","0.9","0.2","0.1","30.3","410.0","6.0"
"Washington Redskins","","2.5","0.6","0.7","1.0","0.2","0.0","23.3","364.0","5.9"
"Los Angeles Chargers","","2.6","0.7","0.5","0.7","0.2","0.0","22.1","348.0","5.8"
"San Francisco 49ers","","1.6","0.9","0.7","1.0","0.2","0.0","24.1","368.0","5.8"
"Cleveland Browns","","1.6","0.9","0.6","0.9","0.2","0.0","31.4","394.0","5.7"
"Tampa Bay Buccaneers","","1.6","0.7","0.7","1.0","0.2","0.0","31.9","404.0","5.7"
"Atlanta Falcons","","1.7","0.4","0.8","1.1","0.2","0.0","28.0","382.0","4.8"
""
""
