"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Todd Gurley","LAR","20.5","89.0","1.0","4.0","42.9","0.3","0.2","24.6"
"Alvin Kamara","NO","11.0","50.7","0.6","5.7","52.3","0.3","0.1","21.3"
"Christian McCaffrey","CAR","14.7","61.0","0.5","5.6","44.7","0.3","0.2","20.6"
"Kareem Hunt","KC","16.6","76.6","0.7","3.1","31.3","0.3","0.1","19.5"
"Melvin Gordon","LAC","15.6","67.1","0.5","4.4","39.6","0.3","0.1","19.1"
"James Conner","PIT","19.1","79.3","0.7","3.6","32.4","0.1","0.1","18.8"
"Ezekiel Elliott","DAL","20.6","89.5","0.5","3.4","27.7","0.1","0.1","18.2"
"James White","NE","6.5","26.3","0.3","5.7","49.2","0.6","0.1","17.9"
"Tarik Cohen","CHI","7.4","31.2","0.2","5.0","51.5","0.3","0.2","15.8"
"Adrian Peterson","WAS","18.4","80.9","0.7","1.5","17.8","0.2","0.3","15.8"
"Sony Michel","NE","16.8","74.5","0.7","1.5","12.1","0.1","0.2","14.6"
"Chris Thompson","WAS","5.8","26.0","0.2","4.7","39.2","0.3","0.1","13.6"
"Nick Chubb","CLE","16.0","80.0","0.7","1.0","8.1","0.0","0.1","13.6"
"Chris Carson","SEA","17.2","75.7","0.4","1.7","14.7","0.1","0.2","13.4"
"Latavius Murray","MIN","15.9","71.0","0.6","1.7","13.1","0.1","0.2","13.4"
"Lamar Miller","HOU","16.4","69.3","0.4","2.2","17.2","0.1","0.1","13.3"
"Kenyan Drake","MIA","9.0","39.6","0.4","3.5","26.6","0.2","0.1","13.1"
"Phillip Lindsay","DEN","12.6","54.5","0.4","2.4","18.8","0.2","0.1","12.8"
"Mark Ingram","NO","10.8","50.3","0.5","2.7","20.7","0.1","0.1","12.8"
"Kerryon Johnson","DET","13.1","53.2","0.3","3.0","24.0","0.1","0.1","12.7"
"LeSean McCoy","BUF","14.2","55.7","0.3","3.0","21.8","0.1","0.2","12.5"
"Matt Breida","SF","13.1","63.2","0.4","1.8","15.6","0.2","0.1","12.4"
"Tevin Coleman","ATL","11.9","48.9","0.4","2.4","23.2","0.2","0.1","12.4"
"Jalen Richard","OAK","5.6","22.9","0.2","4.6","36.7","0.1","0.1","12.2"
"Dion Lewis","TEN","10.9","44.6","0.2","3.8","24.3","0.1","0.3","11.8"
"Aaron Jones","GB","12.2","61.0","0.4","1.8","13.7","0.1","0.1","11.7"
"Isaiah Crowell","NYJ","13.6","60.6","0.4","1.7","13.8","0.1","0.1","11.7"
"Alex Collins","BAL","13.7","54.1","0.5","1.7","12.7","0.1","0.2","11.3"
"Jordan Howard","CHI","15.5","60.6","0.4","1.5","11.2","0.1","0.2","11.0"
"Doug Martin","OAK","14.3","56.4","0.4","1.5","11.3","0.1","0.2","10.6"
"Duke Johnson","CLE","6.3","28.4","0.2","3.1","31.0","0.1","0.1","10.6"
"Austin Ekeler","LAC","7.5","34.9","0.2","2.4","24.2","0.2","0.2","9.7"
"Javorius Allen","BAL","5.8","20.5","0.2","3.1","19.7","0.2","0.1","9.1"
"Peyton Barber","TB","13.1","52.0","0.3","1.1","8.8","0.1","0.1","9.1"
"Frank Gore","MIA","13.0","52.6","0.3","1.0","8.3","0.1","0.1","8.8"
"Trenton Cannon","NYJ","7.6","31.3","0.2","2.3","20.5","0.1","0.1","8.7"
"Ito Smith","ATL","9.0","35.9","0.4","1.6","12.2","0.1","0.1","8.5"
"Theo Riddick","DET","2.3","7.9","0.1","3.6","27.1","0.1","0.1","7.9"
