"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","6.0","76.6","0.6","0.0","17.1"
"Rob Gronkowski","NE","4.5","64.3","0.5","0.0","14.0"
"Jared Cook","OAK","5.0","63.2","0.3","0.1","13.3"
"George Kittle","SF","4.4","62.6","0.4","0.0","13.2"
"Jimmy Graham","GB","4.3","51.3","0.4","0.0","11.8"
"Greg Olsen","CAR","3.7","48.1","0.4","0.0","11.1"
"David Njoku","CLE","4.1","46.1","0.4","0.0","10.8"
"Jordan Reed","WAS","4.3","45.1","0.3","0.1","10.6"
"Austin Hooper","ATL","4.3","44.6","0.3","0.0","10.4"
"Trey Burton","CHI","3.9","44.1","0.3","0.0","10.2"
"O.J. Howard","TB","3.3","49.5","0.3","0.0","10.2"
"Kyle Rudolph","MIN","3.7","38.3","0.4","0.0","10.1"
"Vance McDonald","PIT","3.5","41.9","0.2","0.1","8.7"
"Benjamin Watson","NO","3.1","33.5","0.3","0.0","8.1"
"Chris Herndon IV","NYJ","2.3","30.4","0.4","0.0","7.4"
"Charles Clay","BUF","2.7","26.9","0.1","0.0","6.0"
"Jeff Heuerman","DEN","2.4","24.9","0.2","0.0","5.9"
"Nick Vannett","SEA","2.1","21.9","0.2","0.0","5.5"
"Ed Dickson","SEA","1.6","21.9","0.3","0.0","5.3"
"Hayden Hurst","BAL","2.1","20.4","0.2","0.0","5.0"
"Antonio Gates","LAC","2.0","20.5","0.2","0.0","5.0"
"Jesse James","PIT","2.0","21.4","0.2","0.0","5.0"
"Mike Gesicki","MIA","1.9","18.8","0.1","0.0","4.7"
"Cameron Brate","TB","1.7","19.6","0.2","0.1","4.7"
"Ryan Griffin","HOU","1.7","20.7","0.1","0.0","4.5"
"Vernon Davis","WAS","1.5","21.7","0.1","0.0","4.4"
"Mark Andrews","BAL","1.5","17.5","0.2","0.0","4.4"
"Michael Roberts","DET","1.4","15.3","0.2","0.0","4.0"
"Nick O'Leary","MIA","1.3","15.8","0.2","0.1","3.8"
"Jordan Thomas","HOU","1.3","15.3","0.1","0.0","3.7"
"Gerald Everett","LAR","1.3","15.4","0.1","0.0","3.6"
"Neal Sterling","NYJ","1.3","14.6","0.1","0.0","3.3"
"Demetrius Harris","KC","1.1","13.4","0.1","0.0","3.2"
"Luke Stocker","TEN","1.2","13.3","0.1","0.0","3.2"
"Luke Willson","DET","1.3","12.7","0.1","0.0","3.1"
"Nick Boyle","BAL","1.4","12.0","0.1","0.0","3.1"
"Geoff Swaim","DAL","1.3","12.2","0.1","0.0","3.0"
"Jason Croom","BUF","1.2","12.6","0.1","0.0","3.0"
"Jonnu Smith","TEN","1.2","12.2","0.1","0.0","2.9"
"Josh Hill","NO","0.9","10.2","0.2","0.0","2.9"
"Tyler Higbee","LAR","1.0","12.0","0.1","0.0","2.8"
"Blake Jarwin","DAL","1.1","11.4","0.1","0.0","2.7"
"Virgil Green","LAC","1.1","12.4","0.1","0.0","2.7"
